skewness,song,spectral_rolloff,energy,spread,centroid,zcr,genre,kurtosis
1.692303e+00,songs/Daft Punk - Get Lucky.mp3,2.749521e+03,2.003453e-01,3.391871e+03,2.159870e+03,3.070068e-02,disco,-1.818276e+00
7.769944e-01,songs/Daft Punk - Get Lucky.mp3,1.076256e+04,2.202387e-01,3.880222e+03,3.516732e+03,4.815674e-02,disco,-9.785382e+00
8.621415e-01,songs/Daft Punk - Get Lucky.mp3,9.012991e+03,2.437586e-01,3.808689e+03,3.361526e+03,4.324341e-02,disco,-8.926874e+00
9.662699e-01,songs/Daft Punk - Get Lucky.mp3,1.028076e+04,1.965845e-01,3.433642e+03,3.287317e+03,6.088257e-02,disco,-1.075021e+01
1.547337e+00,songs/Daft Punk - Get Lucky.mp3,2.964853e+03,2.102186e-01,3.498806e+03,2.308059e+03,3.829956e-02,disco,-2.711525e+00
1.662498e+00,songs/Daft Punk - Get Lucky.mp3,3.920389e+03,2.649444e-01,3.009722e+03,2.198234e+03,4.861450e-02,disco,-3.113162e+00
1.315265e+00,songs/Daft Punk - Get Lucky.mp3,5.446555e+03,2.104752e-01,3.081287e+03,2.406453e+03,4.190063e-02,disco,-5.190295e+00
1.463909e+00,songs/Daft Punk - Get Lucky.mp3,5.713028e+03,1.878468e-01,3.024255e+03,2.504990e+03,3.839111e-02,disco,-5.834054e+00
1.311382e+00,songs/Daft Punk - Get Lucky.mp3,7.157098e+03,1.797858e-01,3.167361e+03,2.626446e+03,5.838013e-02,disco,-6.282107e+00
4.236906e-01,songs/Daft Punk - Get Lucky.mp3,1.419846e+04,1.693148e-01,3.909863e+03,4.380523e+03,1.833801e-01,disco,-1.816890e+01
2.996366e+00,songs/Daft Punk - Doin' It Right.mp3,2.775092e+03,8.256569e-02,1.494369e+03,1.087311e+03,3.115845e-02,electronic,8.111959e+00
1.714397e+00,songs/Daft Punk - Doin' It Right.mp3,3.609503e+03,1.733515e-01,2.876621e+03,2.410098e+03,5.007935e-02,electronic,-4.903372e+00
1.637413e+00,songs/Daft Punk - Doin' It Right.mp3,2.733371e+03,1.642392e-01,2.353297e+03,1.984885e+03,3.671265e-02,electronic,-5.171347e+00
9.352231e-01,songs/Daft Punk - Doin' It Right.mp3,1.071546e+04,2.830783e-01,3.471724e+03,3.697971e+03,2.731323e-02,electronic,-1.482182e+01
1.578474e+00,songs/Daft Punk - Doin' It Right.mp3,4.674051e+03,1.492384e-01,3.105757e+03,2.651480e+03,5.010986e-02,electronic,-6.054228e+00
2.000929e+00,songs/Daft Punk - Doin' It Right.mp3,3.050986e+03,2.552984e-01,2.620309e+03,1.909197e+03,3.781128e-02,electronic,-1.515210e+00
1.629898e+00,songs/Daft Punk - Doin' It Right.mp3,3.333609e+03,2.447987e-01,2.993658e+03,2.326565e+03,2.868652e-02,electronic,-4.170632e+00
2.273289e+00,songs/Daft Punk - Doin' It Right.mp3,9.461151e+02,2.939599e-01,2.581257e+03,1.499912e+03,2.261353e-02,electronic,1.647289e+00
9.443998e-01,songs/Daft Punk - Doin' It Right.mp3,1.062664e+04,2.832825e-01,3.465995e+03,3.655653e+03,3.341675e-02,electronic,-1.438140e+01
1.696082e+00,songs/Daft Punk - Doin' It Right.mp3,3.429163e+03,2.746475e-01,2.924901e+03,2.329571e+03,2.682495e-02,electronic,-4.279374e+00
